web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616845207-1290","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=80","83 . Bunuba Cafe Nowak and Pazderski","","Szewska 20a","null","Piwo, wino i alkohole"
"1616845220-1300","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=90","93 . Cafe Del Mar Pub","61 853 43 51","ul. Wrocławska 10","null",""
"1616845194-1276","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=60","69 . Cafe Cinema","","Boleslaw Krzywousty 72","null","Bars"
"1616845158-1153","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","","2 . Psycholoża Cafe & Lunch","61 897 39 91","ul. Wodna 17/19","null","$$ Cafes , Coffee & Tea"
"1616845200-1281","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=70","74 . Cafe Olejnik Zbigniew Marciniak Wojciech Semmler Paweł","","Wenecjańska 6 /  1b","null","Bars"
"1616845171-1201","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=20","30. Cafe Pralnia","50 424 21 24","Mostowa 3a","null","Kawiarnie, Kawa i herbata"
"1616845165-1173","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=10","12 . In Biegu Cafe","61 852 14 08","27 Grudnia 11","null","Lawyers , Cafes , Coffee and Tea"
"1616845165-1181","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=10","20. Behemot Cafe","61 665 83 92","ul. Kramarska 16","null","$$Kawiarnie"
"1616845177-1214","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=30","33 . Kulka Cafe","61 226 28 02","ul. Towarowa 41/210","null","Cafes , Bars , Breakfast and Brunch"
"1616845207-1292","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=80","85. Cafe Disco Jurga Krzysztof","","Zachodnia 8","null","Bary"
