web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616843651-221","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=80","82 . Ma Cafe Service Maria Twarda Skopowska","","Henryka Wieniawskiego 18","null",""
"1616843657-239","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=90","100 . Moris Cafe Krzysztof Mendel","","Athletes 11","null",""
"1616843634-199","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=50","60 . Bellmer Cafe","69 894 82 64","ul. Warszawska 2","null","Arts and entertainment"
"1616843657-230","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=90","91 . Trapper. Cafe-bar","","Workers","null",""
"1616843681-272","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=130","133 . PHU Cafe Bar Idol Dawidowski Jan","","Sikorskiego 50c","null","Bars"
"1616843612-156","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=10","17. Cafe Galeria Secesja","32 796 06 16","ul. Kaczyniec 8","null","Kawiarnie, Kawa i herbata"
"1616843629-184","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=40","45 . Cafe Pokusa Sęk Jan","","Krucza 61","null","Bars"
"1616843645-212","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=70","73 . Blues & Rock Cafe Dąbrowska Aleksandra","","11 November 7","null","Bars"
"1616843629-187","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=40","48 . Rock Cafe Chojniak Rajmund","","Alfred Sokołowski 2/2","null","Bars"
"1616843669-255","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=110","116 . Cafe Boss. Café","","Chemists 3","null",""
"1616843634-191","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=50","52 . Cafe Baret Kuźnia Lucjan Czerny Sabina Rogowska","","Fr. Norbert Bończyk 2","null","Bars"
"1616843606-149","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","","10. Tu Lis Ma Nore Cafe","69 280 52 90","ul. Wojska Polskiego 29","null","$Kawiarnie, Kawa i herbata"
"1616843617-167","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=20","28. Swiss Cafe Badilatti","","Cemetery","null","Kawa i herbata, Kawiarnie"
"1616843623-171","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=30","32 . So! Coffee","","ul. Wolności 90","null","Coffee and tea , Cafes"
"1616843640-204","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=60","65 . Bakery Cafe Bar Jan Szmajduch","32 221 52 64","Rybnicka 111","null","Bakeries , Candy Stores"
"1616843663-248","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=100","109 . Cafe Capuccino","","Będzińska 80","null",""
"1616843629-180","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=40","41 . Cafe Lenox Sęk Wojciech Jaworska Sęk Elżbieta","","Ligocka 103","null","Bars"
"1616843681-279","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=130","140 . Transport Services Mychajło Pukało","79 759 07 13","ul. Łukasińskiego 11/182","null","Coaches"
"1616843674-268","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=120","129 . Cafe New York Cafe Bar Mała Gastronomy Labisch Bogusława","","Of the Constitution 14","null","Bars"
"1616843617-163","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=20","24 . Gafa Cafe","53 686 40 05","ul. Wilimowskiego 4/2","null","Cafes , Coffee and tea"
"1616843686-282","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=140","143 . Ekspress Cafe Joachim Wieczorek","","Powstańców 18/1","null",""
"1616843634-197","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=50","58 . Cafe Bar Halina Domżoł","","Henryka Sienkiewicza 51a","null","Bars"
"1616843634-194","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=50","55 . Marcin Opołka Bellmer Cafe","","Warszawska 2","null","$ Bars"
"1616843657-231","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=90","92 . Cafe Bar Leśna Błażek Piotr","32 216 45 57","Behind the Mound 28","null","Bars"
"1616843617-162","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=20","23 . Cafe Jerusalem","53 021 10 07","ul. Modrzejowska 44","null","Themed cafes"
"1616843686-285","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=140","146 . Club Cafe Szuflandia Czarnuch Jacek","","Rynek Rynek 23","null",""
"1616843651-226","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=80","87 . Laguna Cafe Bar Jędras Małgorzata","32 292 06 98","Stefan Kisielewski","null","Bars"
"1616843663-245","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=100","106 . Capri Cafe Jerzy Kasprzyk","","Warszawska 211","null","Bars"
