web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616334250-1395","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=70","73 . Cafe-bar Alfa","88 994 79 92","Home Army 112 A","null","Bars"
"1616334218-1315","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=30","33 . Cafe Attic","58 620 30 38","Kashubian Square 7","null","Cafes , Coffee and tea"
"1616334218-1317","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=30","35 . Kontrast Cafe","50 351 64 01","ul. Seaside Boulevard","null","$$ Cafes , Coffee & Tea"
"1616334203-1284","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=10","12 . Lookier Cafe","51 492 59 39","ul. Długa 39","null","$ Cafes , Coffee and Tea"
"1616334266-1441","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=90","99 . Mariusz Kwiczala Cafe Bulvar","","Adm. Steyer 12a / 4","null","Fruits and vegetables"
"1616334266-1439","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=90","97 . Cafe Lundi","","Łąkowa 59","null","Bars"
"1616334233-1360","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=50","58 . Exlibris Cafe","78 327 91 68","ul. Garbary 6","null",""
"1616334241-1375","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=60","63 . Cafe Indygo","58 309 14 44","ul. Piwna 16","null","Usługi turystyczne"
"1616334211-1298","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=20","26 . Café Absinthe","58 320 37 84","ul. św. Ducha 2","null","$Kawiarnie, Kluby, Cocktail bary"
"1616334233-1359","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=50","57 . Mazel Tov Cafe Restaurant","51 155 76 63","Ogarna 119","null",""
"1616334203-1287","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=10","15 . Avocado","53 450 36 66","ul. Wajdeloty 25","null","$ Vegan , Cafes , Vegetarian"
"1616334259-1418","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=80","86 . Magdalena Głuszko Cafe Y Son Artistic Agency","","Oskar Kolberg 6c / 18","null","Theaters"
"1616334211-1301","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=20","29. Ciuciubabka","50 009 48 30","ul. Piłsudskiego 30","null","$Kawa i herbata, Kawiarnie"
